title,snippet,link,position,date
AI 正在影响全球化的五大方式,"Apr 2, 2024 — 除了书面内容外，AI 还在迅速改变多媒体、口译和集成聊天机器人等领域的现状。 直接语音到语音式机器翻译技术的可行性日益增强，加之更出色的模型和硬件在 ...",https://www.acolad.com/zh/services/translation/impact-ai-globalization.html,10,2024-11-02 19:49:55
AI将怎样影响人类社会？,"Sep 19, 2023 — 编者按：大模型时代的到来，使得人工智能成为了真正影响人类社会的重要技术之一，如何打造“负责任的人工智能”的问题正变得愈发迫切和关键。",https://www.microsoft.com/en-us/research/articles/societal-ai-society-and-advancements-in-technology/,11,2024-11-02 19:49:55
什么是人工智能（AI）？,AI 技术可以使用ML 和深度学习网络，以类似人类的智能解决复杂问题。AI 可以大规模扩展来处理信息——遇到模式、识别信息并提供答案。您可以使用AI 来解决一系列领域的 ...,https://aws.amazon.com/cn/what-is/artificial-intelligence/,12,2024-11-02 19:49:55
人工智能技术对社会发展的影响和挑战,"Nov 23, 2023 — 随着科技的快速发展，人工智能（AI）技术逐渐成为推动社会进步的重要力量。AI的广泛应用已对社会发展、经济繁荣等方面产生了深远影响。然而，这种技术的 ...",https://www.solinkup.com/blog/4337,13,2024-11-02 19:49:55
两个因素将决定AI（人工智能）对人类经济的转变程度,"May 1, 2024 — 决定AI对经济影响程度的第二个因素是AI是否会以仅比我们好一点或好得多的方式取代人类劳动。 如果AI好到足以取代人类，但不会比那好多少（至少在短期内，这种 ...",https://insight.kellogg.northwestern.edu/zh/article/how-much-ai-will-transform-our-economy,14,2024-11-02 19:49:55
浅议AI技术对人类社会发展的影响,"Aug 6, 2024 — 浅议AI技术对人类社会发展的影响 · 随着科技的飞速发展，AI技术(人工智能)已经逐渐渗透到我们生活的各个角落，从智能家居到自动驾驶，从医疗诊断到金融投资...",https://www.sohu.com/a/798858147_121117085,15,2024-11-02 19:49:55
AI并不是万能的,"Jun 29, 2018 — 如果我们想从AI技术中获益，最大程度规避其负面影响，我们就应该开始思考，机器学习如何能被有意义地运用在政府、商界以及公民社会的特定领域之中。这意味着 ...",https://cn.weforum.org/agenda/2018/06/ai-6dfaa89c-2840-44ec-a67e-170350b665f8/,16,2024-11-02 19:49:55
人工智能对全球扩张的影响,"Jan 16, 2020 — 麦肯锡还报告说，到同年，至少有70% 的公司可能已经采用了至少一种AI 技术——可能是计算机视觉、高级机器学习、自然语言、机器人流程自动化或虚拟助手。 但 ...",https://www.globalization-partners.com/cn/blog/the-impact-of-ai-on-global-expansion/,17,2024-11-02 19:49:55
大数据与AI人工智能：AI的影响与应对措施,"May 8, 2024 — 大数据技术的发展为人工智能提供了丰富的数据源，有助于提高AI系统的准确性和效率。同时，大数据也为AI带来了挑战，如数据存储、处理和挖掘等。 ﻿.",https://cloud.baidu.com/qianfandev/topic/270758,18,2024-11-02 19:49:55
生成式AI或将推动全球GDP增长7%,新一波AI浪潮也可能会对全球就业市场产生重大影响：“这些技术进步引发的业务流程变革，可能会使3亿个全职岗位受到AI自动化的影响”，Briggs和Kodnani写道。 ... 软件公司也正在 ...,https://www.goldmansachs.com/worldwide/greater-china/insights/Generative-AI-global-GDP,19,2024-11-02 19:49:55
探讨人工智能对经济的影响[译] | 宝玉的 ...,"Dec 15, 2023 — 大语言模型（大语言模型）技术正处于新兴且不断演变之中，其应用正迅速改变。因为目前AI 的影响主要局限于经济中的小部分领域或特定工作流，要从整体增长的 ...",https://baoyu.io/translations/ai/exploring-how-ai-will-impact-the-economy,20,2024-11-02 19:49:55
人工智能技术将从三个层面改变社会,"Nov 19, 2019 — AI将同时在多个层面引发一系列社会影响，主要包括生产力、隐私和联合学习。 ... 几十年前，日本面临着一系列难以回避的长期经济挑战。尽管 ...",https://www.techwalker.com/2019/1119/3122746.shtml,21,2024-11-02 19:49:55
对人工智能火热发展的冷思考,"Apr 18, 2024 — 人们应当理性看待AI技术应用对社会发展产生的影响。尽管科技界和产业界对能够达到人类智能水平的AI最终走入大众视野存在乐观预期，但是当前的人工智能 ...",https://ciss.tsinghua.edu.cn/info/zlyaq/7091,22,2024-11-02 19:49:55
人工智能技术（AI）发展对教育系统冲击及应对建议,"Apr 12, 2024 — ChatGPT、Sora等生成式大模型技术快速迭代，使人工智能技术(AI)对经济社会的冲击日益明显，教育系统也被深刻影响。美国已有大量教育科技公司进入教育领域，由 ...",https://www.mjshsw.org.cn/detailpage/jyxc-a31852c7-70c5-48d1-a252-c90919bae691.html,23,2024-11-02 19:49:55
未来一瞥：人工智能发展趋势,"Feb 8, 2024 — 在不断发展的技术领域，人工智能（AI）将继续塑造企业运营、互动和创新的方式。从提升客户体验到彻底改变整个行业，人工智能的影响是深远的。让我们深入探讨 ...",https://botpress.com/zh/blog/top-artificial-intelligence-trends,24,2024-11-02 19:49:55
3亿人“饭碗不保”？高盛：AI将对全球经济增长产生深远影响,"Apr 1, 2024 — 自AI技术诞生以来，关于AI抢人类饭碗的讨论就层出不穷。尽管围绕生成式AI的潜力存在许多不确定性，但毋庸置疑的是，它已经能够创造出媲美人类的作品，并能 ...",https://wallstreetcn.com/articles/3711779,25,2024-11-02 19:49:55
AI如何影响社会经济,"Jun 11, 2021 — 我认为，人工智能需要大量的数据做训练，持续输入数据会带来很多隐私问题；人工智能整体提高了社会效率，但是不能有效保护个人隐私，会影响人们对技术的接受 ...",https://m.yicai.com/news/101078934.html,26,2024-11-02 19:49:55
什么是人工智能(AI)，人工智能的重要性何在,NLP 和CV 在人类和机器人之间发挥着重要的纽带作用 ... Active IQ 是一款混合云应用程序，它所采用的NetApp 产品和技术，与我们的客户为满足各种用例需求而构建人工智能解决 ...,https://www.netapp.com/zh-hans/artificial-intelligence/what-is-artificial-intelligence/,27,2024-11-02 19:49:55
人工智能对高科技营销的影响,人工智能对高科技营销的影响 · 第一部分介绍AI对高科技营销的影响，包括提高营销效率和效果、增强消费者体验和满意度、促进创新和竞争力、引发伦理和社会问题四个方面； · 第 ...,https://www.woshipm.com/ai/5847355.html,28,2024-11-02 19:49:55
为什么我们需要现实地看待人工智能对经济的影响？,"Sep 5, 2023 — Francois Candelon · 技术对生产率增长的影响一直以来都被夸大了。分析人士是否会在生成式人工智能上重蹈覆辙？ · 生产率的巨大转变是由降低成本驱动的。虽然 ...",https://cn.weforum.org/stories/2023/09/generative-ai-overstated-economic-impact/,29,2024-11-02 19:49:55
人工智能宏观经济学,AI的未来并无定数。它可以向非常不同的方向发展。未来将会出现的景象会是多方作用的结果，包括今天我们在技术和政策上 ...,https://www.imf.org/zh/Publications/fandd/issues/2023/12/Macroeconomics-of-artificial-intelligence-Brynjolfsson-Unger,30,2024-11-02 19:49:55
下一代人工智能对银行业的影响,"Mar 7, 2024 — 尽管AI 在银行业领域的前景一片大好，但扩大AI 的采用范围也不那么容易。采用AI 技术不仅涉及技术调整，还涉及客户期望和企业组织做法的转变。如果 ...",https://www.redhat.com/zh/blog/what-expect-next-era-artificial-intelligence-banking,31,2024-11-02 19:49:55
人工智能在现代商业中的关键作用,人工智能(AI) 在现代商业中变得越来越普遍，越来越多的公司认识到它可以提供的巨大好处。 从自动化日常任务到做出更准确的预测和提供个性化的客户体验，人工智能有可能 ...,https://www.eseibusinessschool.com/zh-CN/the-crucial-role-of-ai-in-business/,32,2024-11-02 19:49:55
要论AI应用影响这五大行业首当其冲,"Mar 17, 2022 — 不可否认的是，人工智能在2021年取得了巨大的进步。有专家指出，2022年人工智能领域的关键进步不一定来自技术本身，而更多来自技术的利用和运作方式。美国 ...",http://www.news.cn/tech/20220317/a23b5e671c084eda94d409b0177606a2/c.html,33,2024-11-02 19:49:55
ChatGPT等新一代人工智能技术的社会影响及其治理,"Apr 10, 2023 — ChatGPT本质上是人工智能生成内容的最新应用成果，面对这一新传播范式，对其风险认知、治理策略研究刻不容缓。类ChatGPT应用嵌入公共治理领域将展现出巨大 ...",https://www.secrss.com/articles/53542,34,2024-11-02 19:49:55
在生成式AI时代重塑工作,生成式AI. 为上述领域带来的深刻影响史无前例，然而，企业在争相应用新技术开展试点和实验的同时，更加需要稳. 健务实的新型人才战略进行支撑，切忌顾此失彼。 为突出更早聚焦 ...,https://www.accenture.cn/content/dam/accenture/final/accenture-com/document-2/Accenture-Work-Workforce-Workers-Full-Report-CN.pdf,35,2024-11-02 19:49:55
中国“AI大混战”背后：想超越美国，又离不开美国,"Feb 22, 2024 — 对人工智能主导地位的争夺影响深远。尽管各国都在努力应对人工智能的风险，但人工智能技术的突破可能会改变全球技术力量的平衡，提高人们的生产力 ...",https://cn.nytimes.com/technology/20240222/china-united-states-artificial-intelligence/,36,2024-11-02 19:49:55
大数据和人工智能应用–进一步发展联系的技术 - Stratus Blog,"Dec 13, 2021 — 最受欢迎的基于ai的技术之一是汽车的自动驾驶。预计自动驾驶不仅能有效防止交通事故，还能减少二氧化碳排放。自动驾驶最令人期待的是支持物流的卡车。",https://blog.stratus.com/zh/use-case-using-big-data-ai/,37,2024-11-02 19:49:55
原创：AI如何助力制造业变革？,"Jan 15, 2024 — 这其中人工智能（AI）被认为是最重要的一项技术。AI技术可以优化制造流程，大大提高生产力，帮助企业在行业竞争中获得优势。积极利用多种AI前沿技术 ...",https://www.wimc.org.cn/news_show.aspx?id=820,38,2024-11-02 19:49:55
什么是人工智能(AI)？,虽然不同AI 技术的具体情况有所不同，但核心原则都是围绕数据展开。AI 系统会通过接触大量数据来学习和改进，以识别人类可能会忽视的模式和关系。 这个学习过程通常涉及算法 ...,https://cloud.google.com/learn/what-is-artificial-intelligence?hl=zh-CN,39,2024-11-02 19:49:55
AI的发展会对各行各业产生什么影响和变化,"May 16, 2024 — AI的最大魅力之一在于其推动创新的能力。在科研领域，AI技术的应用加速了研究数据的处理和分析，使得科研工作者可以更快地达到研究目的和发现 ...",https://docs.pingcode.com/ask/ask-ask/279945.html,40,2024-11-02 19:49:55
人工智能技术如何影响手机行业的未来发展趋势？,"Aug 20, 2020 — 手机等级表明其外观状态，根据已发现的表面刮擦、破裂、擦伤等外观缺陷确认本机的等级。不过，每家零售商和批发商都对手机的等级标准有不同的理解。比如， ...",https://nsysgroup.com/zh/blog/ai-development-transforms-mobile-industry/,41,2024-11-02 19:49:55
AI技术带来的挑战，企业准备好了吗？,"Mar 15, 2021 — 如果AI系统要在社会决策中发挥关键作用，那么监管和问责将至关重要。 偏见目前讨论最广泛的问题是AI系统容易造成偏见，这些偏见可能反映甚至加剧已有偏见和 ...",https://www.robeco.com/zh-cn/insights/2021/03/are-companies-ready-for-the-challenges-brougt-by-ai-technology,42,2024-11-02 19:49:55
AI 如何影响我们的日常生活,"Nov 24, 2023 — AI技术在个人工具领域的应用已经极大地提高了工作效率和便捷性。智能手机中的语音助手如Siri和Google Assistant使得执行诸如发送信息、设置提醒、查询信息 ...",https://worktile.com/kb/p/69677,43,2024-11-02 19:49:55
麦肯锡重磅报告：AI对哪些行业冲击最大？,"Jun 15, 2023 — 麦肯锡称，生成式AI的影响主要集中在四个领域（约占75%）：客户运营、营销和销售、软件工程和研发。生成式AI及其他科技的发展或将使当前工作的60%到70%实现 ...",https://wallstreetcn.com/articles/3691210,44,2024-11-02 19:49:55
通过研究开发和社会实际应用的“协同进化”，将使用AI的影响 ...,"Apr 27, 2023 — 以往的信息处理技术是使用将处理流程明确规则化的程序，而在机器学习和深度学习中，计算机学习庞大数量的数据，以此来探索人类感官捕捉不到的、隐藏在数据中 ...",https://article.murata.com/zh-cn/article/open-innovation-pksha-1,45,2024-11-02 19:49:55
什么是生成式人工智能(Gen-AI)？它如何影响儿童的福祉？,"Dec 20, 2023 — 在围绕生成人工智能的使用制定政策时，必须考虑年轻人和父母的观点和担忧，这一点很重要。当技术在教育中的应用时尤其如此，其中可能的应用可能是最有影响力 ...",https://www.internetmatters.org/zh-CN/hub/research/what-is-generative-ai-gen-ai-and-how-can-it-impact-childrens-wellbeing/,46,2024-11-02 19:49:55
什么是人工智能？| 人工智能| 商业AI,虽然人工智能技术已被广泛应用于多个行业和领域，但在具体的实施过程中仍面临着一些无法避免的挑战，比如：. 数据的限制：包括数据的质量以及安全性的问题，数据质量直接影响AI ...,https://www.sap.cn/products/artificial-intelligence/what-is-artificial-intelligence.html,47,2024-11-02 19:49:55
文化和生活方式的影响（以人工智能（AI）技术为例）-腾讯新闻,"Mar 5, 2024 — 通过AI技术，我们可以以前所未有的方式创造、传播和消费文化内容。例如，AI算法可以根据用户的喜好推荐音乐、电影和书籍，从而改变人们的文化消费习惯。此外， ...",https://news.qq.com/rain/a/20240305A009V100,48,2024-11-02 19:49:55
AI治理：平衡发展与风险，迈向全球共治- 中国日报网 - 专栏,"Jul 18, 2024 — 研究背景：近期，世界人工智能大会在上海召开，重点讨论了AI治理的相关问题。AI作为引领未来的战略新兴技术，已成为发展新质生产力和推动科技革命的核心 ...",https://column.chinadaily.com.cn/a/202407/18/WS6698a9c1a3107cd55d26b9a3.html,49,2024-11-02 19:49:55
国务院关于印发新一代人工智能发展规划的通知_科技,"Jul 20, 2017 — 人工智能成为国际竞争的新焦点。人工智能是引领未来的战略性技术，世界主要发达国家把发展人工智能作为提升国家竞争力、维护国家安全的重大战略 ...",https://www.gov.cn/zhengce/content/2017-07/20/content_5211996.htm,50,2024-11-02 19:49:55
人工智能- 维基百科，自由的百科全书,人工智能（英语：artificial intelligence，缩写为AI），亦称机器智能，指由人制造出来的机器所表现出来的智能。通常人工智能是指用普通计算机程序来呈现人类智能的技术。,https://zh.wikipedia.org/zh-cn/%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD,51,2024-11-02 19:49:55
全球AI项目的包容性发展与社会影响探讨,"Sep 28, 2024 — 包容性技术在解决全球性问题中扮演着至关重要的角色。通过将不同文化的知识和经验纳入AI系统的设计与实施，能够更好地满足各地社区的实际需求。例如，在 ...",https://www.forwardpathway.com/127379,52,2024-11-02 19:49:55
埃森哲：AI对16个行业以及12个经济体的影响,"Jul 10, 2017 — 在制造业，像物联网（IoT）这样的先驱者，为智能系统的无缝集成创造了有利条件，如今的物联网技术使诸如组装线这样的物理设备能够与数字系统连接并通信，此外， ...",https://www.199it.com/archives/610451.html,53,2024-11-02 19:49:55
AI对未来行业的影响,"Jun 18, 2023 — AI技术在医疗领域的应用，将会拥有广泛的发展前景。AI技术在医疗领域可以应用于疾病的诊断、预测和治疗，更加精准医疗方案可以降低医疗等级, 降低医疗成本， ...",https://cloud.tencent.com/developer/news/1109498,54,2024-11-02 19:49:55
AI Now报告：人工智能技术对社会和经济的近期影响,"Oct 9, 2016 — 人工智能系统的引入并不能自动纠正体系中的不平等，反而可能将它们放大。一方面，人工智能可以为各种群体提供定制服务，另一方面，它们也可能忽略那些原本就很 ...",https://www.jiqizhixin.com/articles/2016-10-09-3,55,2024-11-02 19:49:55
AI的影响及其边界,"Mar 9, 2023 — 宏观层面，AI技术对现实经济活动的影响仍存在一定滞后性（“生产力悖论”），这使得现有的经济增长模型很难全面反映AI或者数据要素创新对经济潜在增长的复杂影响 ...",https://finance.sina.cn/chanjing/gdxw/2023-03-09/detail-imykfcvi3312293.d.html,56,2024-11-02 19:49:55
你知道AI技术如何影响我们的健康吗？,"Oct 21, 2024 — 日常生活中，AI技术已经在很多方面为我们提供便利，比如智能穿戴设备能够监测心率、运动量和睡眠质量。这些设备的数据反馈，帮助我们更好地理解自身的健康 ...",https://mt.sohu.com/a/818811568_121956423,57,2024-11-02 19:49:55
人工智能的发展与应用：影响与洞察,人工智能在医疗领域的应用是一次前所未有的革命。通过利用先进的算法和大量的健康数据，AI技术不仅为病人提供了更准确的诊断，还大大提升了治疗效率，从而为医疗保健行业 ...,https://www.webpilot.ai/writeDetail/4b5ec2d1-555d-40ec-9e1f-68a5b211c8c8,58,2024-11-02 19:49:55
AI技术的双重影响与前行之路：科学进步与安全挑战并存 - 新闻,"Oct 25, 2024 — 这些成就无疑展示了AI在数据处理、模型预测和实验优化等领域的巨大应用潜力。例如，深度学习技术使得研究人员能够从海量数据中提取出有意义的信息，极大提升 ...",https://news.sohu.com/a/820164726_121798711,59,2024-11-02 19:49:55
浅谈AI对未来企业的发展有何影响,"Jul 20, 2024 — AI技术在企业生产环节的应用，将有助于提高生产效率，降低成本。通过智能化改造，企业可以实现生产线的自动化、无人化，从而减少人力成本，提高生产速度。同时， ...",https://www.163.com/dy/article/J7I3PMAH055677F4.html,60,2024-11-02 19:49:55
Benefits & Risks of Artificial Intelligence Chinese,"Apr 1, 2017 — 在短期内，保障AI对社会有益的科研范畴可涵盖诸多领域如经济学和法学，以及验证法、有效性计算、安全性和控制论等技术层面课题。如果安全保障仅限于防止你的 ...",https://futureoflife.org/ai/benefits-risks-artificial-intelligence-chinese/,61,2024-11-02 19:49:55
【AI 襲地球】人工智能對人類/社會/生活影響有多大？AI好處有 ...,AI技術已經被廣泛應用在許多領域，例如醫療保健、金融、交通、製造和電子商務等。AI技術可以幫助我們更好地理解和解決複雜的問題，提高工作效率和質量，並為未來的科技發展 ...,https://acaccountinghk.com/life/artificial-intelligence/,62,2024-11-02 19:49:55
人工智能技术对社会发展的影响及挑战,"Apr 7, 2024 — 这个大纲提供了一个全面的框架来探讨人工智能技术的发展对人类社会的多方面影响。每个部分都可以进一步细分为子主题，以便深入研究。论文写作时，应确保各 ...",https://www.atalk-ai.com/talk/share/1712484694724_sbabubx52dj,63,2024-11-02 19:49:55
AI将对人类产生积极影响,"Dec 14, 2018 — 这些人表示，AI技术会让计算机在复杂决策、推理和学习、复杂分析和模式识别、视觉敏锐度、语音识别和语言翻译等方面的能力与人类不相上下，甚至超过人类； ...",http://health.people.com.cn/n1/2018/1214/c14739-30466187.html,64,2024-11-02 19:49:55
AI技术的发展对社会有何影响？ - 沃卡惠,"Dec 6, 2023 — 人工智能技术的迅猛发展，正在对社会产生深远的影响。从个人生活到工作场所，从医疗健康到交通运输，AI的广泛应用正在为我们的生活带来越来越多的便利和 ...",https://www.wokahui.com/article/industry/2725.html,65,2024-11-02 19:49:55
人工智能（IA）的发展与影响原创,"May 11, 2023 — ... 影响，并采取相应的措施加以应对。在充分利用AI技术带来的好处的同时，我们需要关注这些挑战，并努力确保AI的发展造福全人类。失业问题：随着IA技术的 ...",https://blog.csdn.net/qq_54037316/article/details/130614028,66,2024-11-02 19:49:55
Gen AI与重塑可持续时尚：一场科技驱动的革命,"Apr 10, 2024 — 随着Gen AI持续渗入到时尚行业，技术与可持续间的协同作用正变得越来越明显。从设计到消费者参与，AI正推动着积极的变化，也拓展可持续时尚的界限。AI结合了 ...",https://betweenconscious.com/cn/blog/gen-ai-and-the-reshaping-of-fashion-sustainability-a-tech-infused-revolution,67,2024-11-02 19:49:55
IEEE最新全球调查显示，预计AI将在2025年成为最重要技术 ...,2 days ago — 云计算、机器人、扩展现实（XR）、工业物联网、量子计算和电动汽车/电动汽车充电是2025年最重要的技术之一 · AI将成为未来一年最重要的技术，但仍尚未成为主流.,https://m.c114.com.cn/w5339-1276792.html,68,2024-11-02 19:49:55
1.5万字告诉你AI的应用究竟对人类社会经济有哪些影响,"Oct 8, 2016 — 人工智能的概念和应用65年前就已开始，不过最近AI的进步和应用让这种技术再次成为热议。随着AI被更广阔地应用到人类社会和经济生活各个方面，新的机遇和挑战 ...",https://m.leiphone.com/category/ai/vE2e8k9ppW5fX9vo.html,69,2024-11-02 19:49:55
日本“顽固劣势”影响AI技术发展,"Jun 19, 2024 — 三是日本企业擅长将先进技术与实际产业需求相结合，AI在医疗、制造业、零售等多个行业的应用案例丰富。例如在医疗领域，松下公司推出的机器人能在医院环境中 ...",http://www.sjsc.org.cn/2024/0619/xinwenzhongxin/15217.html,70,2024-11-02 19:49:55
AI技术在竞技体育中的应用及风险,"Sep 26, 2024 — 如果过度依赖AI技术的分析和帮助，可能会忽视自身对运动项目技战术的理解，进而影响运动员的临场发挥和应变能力。每个运动员各自的风格、所擅长的技战术不同 ...",https://www.lexology.com/library/detail.aspx?g=40090b89-ea0a-4924-a723-f1f50d90d89e,71,2024-11-02 19:49:55
人工智能技术趋势的六大影响：从大数据到大模型,"Jul 4, 2022 — 生成性AI、虚拟人等AI技术将带来六大影响. 第一，带来更包容性的用户交互方式，帮助弥合数字鸿沟。 ... 第二，带来零边际成本的内容生产变革，规模化创造虚拟 ...",https://m.36kr.com/p/1813007627732609,72,2024-11-02 19:49:55
中金公司发布《AI经济学》报告探讨AI对宏观经济及产业发展 ...,"Aug 6, 2024 — 新华网北京8月6日电（王唯一）2024年《政府工作报告》首次提出“人工智能+”行动，旨在推动AI技术与各行业的深度融合，是推动中国从“互联网时代”迭代升级 ...",https://app.xinhuanet.com/news/article.html?articleId=4e32e80a24b4f7dc014690bbe8c46202,73,2024-11-02 19:49:55
AI如何影响工作？诺贝尔经济学奖说……,7 days ago — 皮萨里德斯指出，“以往的工业革命往往与能源有关，比如化石能源、电力等等，当前正在进行的所谓第四次工业革命，则是由数字技术所驱动的。” 尽管目前AI的应用 ...,https://news.sciencenet.cn/htmlnews/2024/10/532647.shtm,74,2024-11-02 19:49:55
人工智能技术是如何影响人类生活的?,"Oct 29, 2020 — 将人工智能与商业、政府安防、金融、医疗、物业等相结合，构建新型智能化场景。例如正在研发的无人驾驶汽车，可以输入指定的程序，代替驾驶员开车。对于简单 ...",https://www.51cto.com/article/630227.html,75,2024-11-02 19:49:55
引领未来AI 人工智能(Artificial Intelligence),CONTENT. ➢ 什么是人工智能. (What is AI). ➢ 对生活的影响. (Impact on life). ➢ 人工智能技术领域. (AI tech areas). ➢ 专业课程设置. (Curriculum). ➢ 人工智能案例. ( ...,https://iso.usst.edu.cn/_upload/article/files/9c/69/9452c49a49f9be5ea0aa610de085/4e2790f6-19c0-4576-a3d8-97449a1d4b6f.pdf,76,2024-11-02 19:49:55
大数据与AI能产生多大的影响力,"Nov 8, 2023 — 跨行业使用大数据. 如今，大数据几乎被用于所有的商业行业，因为它带来了巨大的好处。 · 1. 金融及银行业. 金融行业广泛采用大数据和分析技术，使其变得更以 ...",https://www.snowbeasts.com/blog/details/259,77,2024-11-02 19:49:55
AI 對我有什麼影響？,AI 就像一位有用的助理，可協助我們更有效率且更具策略性地完成工作。 當我們快要因資訊超載而淹沒時，可能難以確切識別需要知道的內容，或是哪些對完成特定工作會有用。 雖然 ...,https://support.microsoft.com/zh-tw/topic/ai-%E5%B0%8D%E6%88%91%E6%9C%89%E4%BB%80%E9%BA%BC%E5%BD%B1%E9%9F%BF-b3f59276-a6c7-429e-b2cb-67db7c2eb1aa,78,2024-11-02 19:49:55
未来AI对审计工作的影响,"Jul 11, 2024 — AI技术可以实现更直接的人机对话，智能机器人将融入审计工作中，未来审计工作从审前调查、数据分析、审计方案的形成、审计取证、底稿、报告的生成等都会通过 ...",https://audit.wulanchabu.gov.cn/sjxx/1555289.html,79,2024-11-02 19:49:55
人工智能(AI) 解决方案,人工智能(AI) 无疑是当今时代的重大颠覆性技术。过去只有在科幻小说中才有可能实现的突破，如今已经成为可以应用于特定任务和整个流程的真正的AI 工具。,https://www.ibm.com/cn-zh/artificial-intelligence,80,2024-11-02 19:49:55
生成式AI在中国：2万亿美元的经济价值,2017年以来，麦肯锡全球研究院（MGI）始终密切关注自动化技术对工作的影响。经分析，MGI发现，目前劳动者50%工时内的工作可能在2030年前被自动化。仅中国就有约2.2亿 ...,https://www.mckinsey.com.cn/%E7%94%9F%E6%88%90%E5%BC%8Fai%E5%9C%A8%E4%B8%AD%E5%9B%BD%EF%BC%9A2%E4%B8%87%E4%BA%BF%E7%BE%8E%E5%85%83%E7%9A%84%E7%BB%8F%E6%B5%8E%E4%BB%B7%E5%80%BC/,81,2024-11-02 19:49:55
人工智能正推动产业模式改变,2 days ago — 随着人工智能（AI）技术的不断进步，其在各行业的应用日益广泛。从优化农业生产到提升商业效率，AI正逐步改变着传统作业模式。学术界与产业界的合作，也在推动 ...,https://www.stdaily.com/web/gdxw/2024-11/01/content_251274.html,82,2024-11-02 19:49:55
未来五年AI技术的发展与影响展望,"Jun 5, 2019 — 凭借着简化业务流程、降低运营成本以及自动完成繁琐任务等能力，人工智能（AI）技术已经在众多行业当中成为重要的增长驱动因素。与此同时，云计算、大数据 ...",https://siscmag.com/news/show-2270.html,83,2024-11-02 19:49:55
取代还是解放： 人工智能对金融业劳动力市场的影响,... AI已知的技术应用替代，则将该岗位定义为受AI影响. 削减；削减岗位的估算以2017年人工智能应用普及情形为基础假设，以银行、保险、资本市场各行业2003-2014就业人数复合 ...,https://web-assets.bcg.com/img-src/BCG-CDRF-The-Impact-of-AI-on-the-Financial-Job-Market_Mar%202018_CHN_tcm9-187844.pdf,84,2024-11-02 19:49:55
